City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,Qaanaaq,100,GL,overcast clouds,2020-06-20 03:18:34,83,77.48,-69.36,34.21,0.0,0.0,2.28
1,Albany,72,US,broken clouds,2020-06-20 03:18:06,85,42.6,-73.97,75.99,0.0,0.0,3.11
2,Severo-Kurilsk,100,RU,overcast clouds,2020-06-20 03:18:05,90,50.68,156.12,42.33,0.0,0.0,18.52
3,Mataura,84,NZ,broken clouds,2020-06-20 03:17:41,80,-46.19,168.86,46.63,0.0,0.0,1.63
4,Palu,85,ID,light rain,2020-06-20 03:19:17,61,-0.89,119.87,87.85,0.38,0.38,2.8
5,Ushuaia,75,AR,broken clouds,2020-06-20 03:17:40,93,-54.8,-68.3,35.6,0.0,0.0,3.36
6,Salem,40,IN,haze,2020-06-20 03:19:18,70,11.65,78.17,84.2,0.0,0.0,2.24
7,Urumqi,1,CN,clear sky,2020-06-20 03:19:18,25,43.8,87.6,77.0,0.0,0.0,4.47
8,Rikitea,100,PF,overcast clouds,2020-06-20 03:17:33,81,-23.12,-134.97,75.38,0.0,0.0,18.25
9,Puerto Ayora,68,EC,broken clouds,2020-06-20 03:17:45,93,-0.74,-90.35,70.0,0.0,0.0,1.99
10,Akyab,83,MM,moderate rain,2020-06-20 03:19:19,78,20.15,92.9,84.54,2.54,2.54,12.57
11,Santa Leopoldina,75,BR,broken clouds,2020-06-20 03:19:19,100,-20.1,-40.53,70.0,0.0,0.0,2.98
12,Fallon,75,US,broken clouds,2020-06-20 03:15:39,11,39.47,-118.78,84.2,0.0,0.0,8.05
13,Provideniya,25,RU,scattered clouds,2020-06-20 03:19:04,41,64.38,-173.3,58.86,0.0,0.0,5.44
14,Aktash,0,RU,clear sky,2020-06-20 03:19:20,40,50.3,87.73,55.69,0.0,0.0,4.59
15,Saint-Philippe,75,RE,broken clouds,2020-06-20 03:17:55,68,-21.36,55.77,69.8,0.0,0.0,14.99
16,Hithadhoo,100,MV,light rain,2020-06-20 03:17:43,77,-0.6,73.08,82.54,0.89,0.89,16.87
17,Jever,100,DE,overcast clouds,2020-06-20 03:19:20,87,53.58,7.9,57.2,0.0,0.0,4.7
18,Khuzdar,0,PK,clear sky,2020-06-20 03:19:21,47,27.74,66.64,80.73,0.0,0.0,5.21
19,Butaritari,100,KI,overcast clouds,2020-06-20 03:18:29,84,3.07,172.79,80.56,0.0,0.0,17.58
20,Busselton,0,AU,clear sky,2020-06-20 03:17:58,68,-33.65,115.33,55.99,0.0,0.0,4.0
21,Atuona,84,PF,broken clouds,2020-06-20 03:17:44,75,-9.8,-139.03,80.29,0.0,0.0,14.2
22,Chokurdakh,55,RU,broken clouds,2020-06-20 03:17:51,17,70.63,147.92,91.33,0.0,0.0,10.2
23,Hambantota,20,LK,few clouds,2020-06-20 03:18:55,79,6.12,81.12,84.2,0.0,0.0,10.29
24,Puerto Escondido,97,MX,moderate rain,2020-06-20 03:19:22,78,15.85,-97.07,82.04,1.47,1.47,2.17
